person,race,closed
1,white,yes
2,white,yes
3,white,yes
4,white,yes
5,white,yes
6,white,yes
7,white,yes
8,white,yes
9,white,yes
10,white,yes
11,white,yes
12,white,yes
13,white,yes
14,white,yes
15,white,yes
16,white,yes
17,white,no
18,white,no
19,white,no
20,white,no
21,white,no
22,other,yes
23,other,yes
24,other,yes
25,other,yes
26,other,yes
27,other,yes
28,other,yes
29,other,yes
30,other,yes
31,other,yes
32,other,yes
33,other,yes
34,other,yes
35,other,yes
36,other,yes
37,other,yes
38,other,yes
39,other,yes
40,other,yes
41,other,yes
42,other,yes
43,other,yes
44,other,no
45,other,no
46,other,no
47,other,no
48,other,no
49,other,no
50,other,no
51,other,no
52,other,no
53,other,no
54,other,no
55,other,no
56,other,no
57,other,no
58,other,no
59,other,no
60,other,no
61,other,no
62,other,no
63,other,no
64,other,no
65,other,no
66,black,yes
67,black,yes
68,black,yes
69,black,yes
70,black,yes
71,black,yes
72,black,yes
73,black,yes
74,black,yes
75,black,yes
76,black,yes
77,black,yes
78,black,yes
79,black,yes
80,black,yes
81,black,yes
82,black,yes
83,black,yes
84,black,yes
85,black,yes
86,black,yes
87,black,yes
88,black,yes
89,black,yes
90,black,yes
91,black,yes
92,black,yes
93,black,yes
94,black,yes
95,black,yes
96,black,yes
97,black,yes
98,black,yes
99,black,yes
100,black,yes
101,black,yes
102,black,yes
103,black,yes
104,black,yes
105,black,yes
106,black,yes
107,black,yes
108,black,yes
109,black,yes
110,black,yes
111,black,yes
112,black,yes
113,black,yes
114,black,yes
115,black,yes
116,black,yes
117,black,yes
118,black,yes
119,black,yes
120,black,yes
121,black,yes
122,black,yes
123,black,yes
124,black,yes
125,black,yes
126,black,yes
127,black,yes
128,black,yes
129,black,yes
130,black,yes
131,black,yes
132,black,yes
133,black,yes
134,black,yes
135,black,yes
136,black,yes
137,black,yes
138,black,yes
139,black,yes
140,black,yes
141,black,yes
142,black,yes
143,black,yes
144,black,yes
145,black,yes
146,black,yes
147,black,yes
148,black,yes
149,black,yes
150,black,yes
151,black,yes
152,black,yes
153,black,yes
154,black,yes
155,black,yes
156,black,yes
157,black,yes
158,black,yes
159,black,yes
160,black,yes
161,black,yes
162,black,yes
163,black,yes
164,black,yes
165,black,yes
166,black,yes
167,black,yes
168,black,yes
169,black,no
170,black,no
171,black,no
172,black,no
173,black,no
174,black,no
175,black,no
176,black,no
177,black,no
178,black,no
179,black,no
180,black,no
181,black,no
182,black,no
183,black,no
184,black,no
185,black,no
186,black,no
187,black,no
188,black,no
189,black,no
190,black,no
191,black,no
192,black,no
193,black,no
194,black,no
195,black,no
196,black,no
197,black,no
198,black,no
199,black,no
200,black,no
201,black,no
202,black,no
203,black,no
204,black,no
205,black,no
206,black,no
207,black,no
208,black,no
209,black,no
210,black,no
211,black,no
212,black,no
213,black,no
214,black,no
215,black,no
216,black,no
217,black,no
218,black,no
219,black,no
220,black,no
221,black,no
222,black,no
223,black,no
224,black,no
225,black,no
226,black,no
227,black,no
228,black,no
229,black,no
230,black,no
231,black,no
232,black,no
233,black,no
234,black,no
235,black,no
236,black,no
237,black,no
238,black,no
239,black,no
240,black,no
241,black,no
242,black,no
243,black,no
244,black,no
245,black,no
246,black,no
247,black,no
248,black,no
249,black,no
250,black,no
251,black,no
252,black,no
253,black,no
254,black,no
255,black,no
256,black,no
257,black,no
258,black,no
259,black,no
260,black,no
261,black,no
262,black,no
263,black,no
264,black,no
265,black,no
266,black,no
267,black,no
268,black,no
269,black,no
270,black,no
271,black,no
272,black,no
273,black,no
274,black,no
275,black,no
276,black,no
277,black,no
278,black,no
